Kreis;31.12.2015;31.12.2016;31.12.2017;31.12.2018;31.12.2019
Flensburg;85942;87432;88519;89504;90164
Jerichower Land, Landkreis;91693;91345;90465;89928;89589
Altenburger Land, Landkreis;92344;91607;90650;90118;89393
Wesermarsch, Landkreis;89239;89282;89022;88624;88583
Garmisch-Partenkirchen, Landkreis;87385;87877;88155;88467;88424
Sankt Wendel, Landkreis;88892;88457;87867;87397;87007
Coburg, Landkreis;86599;86734;86885;86906;86747
Haßberge, Landkreis;84581;84373;84464;84599;84384
Worms;82102;82595;83081;83330;83542
Nordhausen, Landkreis;85355;85098;84697;83822;83416
Altmarkkreis Salzwedel;86164;85236;84457;83765;83173
Saale-Holzland-Kreis;86184;84525;82990;83051;82950
Weimarer Land, Landkreis;82127;82316;82131;81947;82156
Lindau (Bodensee), Landkreis;80429;80961;81148;81669;81981
Birkenfeld, Landkreis;80615;80799;80728;80720;80951
Saale-Orla-Kreis;82951;82362;81501;80868;80312
Neumünster;79197;79680;79335;79487;80196
Dessau-Roßlau;82919;82505;82111;81237;80103
Rhön-Grabfeld, Landkreis;79723;79855;79796;79690;79635
Freyung-Grafenau, Landkreis;78122;78180;78345;78355;78362
Delmenhorst;76323;77045;77521;77607;77559
Regen, Landkreis;76812;77187;77489;77656;77410
Bamberg;73331;75743;77179;77592;77373
Prignitz, Landkreis;77573;77813;77263;76508;76158
Wilhelmshaven;75995;76201;76316;76278;76089
Donnersbergkreis;75230;75203;75102;75101;75325
Bayreuth;72148;73065;73999;74657;74783
Kyffhäuserkreis;77110;76685;75818;75009;74212
Landshut;69211;70025;71193;72404;73411
Wunsiedel im Fichtelgebirge, Landkreis;73185;73260;73485;73178;72655
Brandenburg an der Havel;71574;71664;71886;72124;72184
Tirschenreuth, Landkreis;73314;72918;72730;72504;72046
Kulmbach, Landkreis;72468;71993;72012;71845;71566
Aschaffenburg;68986;69187;69928;70527;71002
Holzminden, Landkreis;71659;71510;71144;70975;70458
Kusel, Landkreis;70997;70899;70764;70526;70219
Sömmerda, Landkreis;70600;70118;70027;69655;69427
Kempten (Allgäu);66947;67529;68330;68907;69151
Lichtenfels, Landkreis;66655;66640;66777;66838;66776
Kronach, Landkreis;67916;67613;67474;67135;66743
Weimar;64131;64355;64426;65090;65228
Rosenheim;61844;62672;63080;63324;63551
Hildburghausen, Landkreis;64524;64330;63923;63553;63197
Cochem-Zell, Landkreis;62391;61864;61662;61587;61375
Vulkaneifel, Landkreis;60794;60757;60705;60603;60646
Frankfurt (Oder);58092;58193;58237;57873;57751
Sonneberg, Landkreis;56818;56507;56361;56196;57717
Wittmund, Landkreis;57173;56881;56731;56882;56926
Baden-Baden;54160;54307;54718;55123;55185
Schweinfurt;51969;52724;53437;54032;53426
Neustadt an der Weinstraße;52999;53209;53353;53148;53264
Passau;50566;51074;51781;52469;52803
Speyer;50284;50551;50931;50378;50561
Emden;50694;50486;50607;50195;49913
Frankenthal (Pfalz);48363;48445;48417;48561;48762
Lüchow-Dannenberg, Landkreis;50128;48825;48357;48424;48412
Straubing;46806;47142;47586;47794;47791
Landau in der Pfalz;45362;46006;46292;46677;46881
Hof;44660;45183;45950;45930;45825
Kaufbeuren;42731;43134;43478;43893;44398
Memmingen;42841;43293;43470;43837;44100
Weiden in der Oberpfalz;42055;42494;42543;42520;42743
Eisenach;42417;42588;42710;42370;42250
Amberg;41861;42348;42248;41970;42207
Ansbach;41159;41532;41652;41847;41798
Coburg;41257;41071;41236;41249;41072
Schwabach;40428;40707;40781;40792;40981
Pirmasens;40125;40416;40632;40403;40231
Suhl;36778;35608;35166;34835;36789
Zweibrücken;34260;34428;34270;34209;34193
